,Name,Score,Studios,Source,Ranked,Popularity,Completed
0,Cowboy Bebop,8.78,Sunrise,Original,28,39,718161
1,Cowboy Bebop: Tengoku no Tobira,8.39,Bones,Original,159,518,208333
2,Trigun,8.24,Madhouse,Manga,266,201,343492
3,Witch Hunter Robin,7.27,Sunrise,Original,2481,1467,46165
4,Bouken Ou Beet,6.98,Toei Animation,Manga,3710,4369,7314
5,Eyeshield 21,7.95,Gallop,Manga,604,1003,78349
6,Hachimitsu to Clover,8.06,J.C.Staff,Manga,468,687,81145
7,Hungry Heart: Wild Striker,7.59,Nippon Animation,Manga,1317,3612,13778
8,Initial D Fourth Stage,8.15,A.C.G.T.,Manga,360,1233,90967
9,Monster,8.76,Madhouse,Manga,30,169,214491
10,Naruto,7.91,Studio Pierrot,Manga,660,8,1462223
11,One Piece,8.52,Toei Animation,Manga,95,31,33
12,Tennis no Ouji-sama,7.9,Trans Arts,Manga,675,1039,76881
13,Ring ni Kakero 1,6.38,Toei Animation,Manga,6493,7333,1333
14,School Rumble,7.94,Studio Comet,Manga,625,514,157789
15,Sunabouzu,7.42,Gonzo,Manga,1844,1284,53819
16,Texhnolyze,7.76,Madhouse,Original,896,823,47532
17,Trinity Blood,7.32,Gonzo,Light novel,2240,936,87958
18,Yakitate!! Japan,7.95,Sunrise,Manga,609,1666,39992
19,Zipang,7.51,Studio Deen,Manga,1565,3985,6807
20,Neon Genesis Evangelion,8.32,"Gainax, Tatsunoko Production",Original,208,54,815938
21,Neon Genesis Evangelion: Death & Rebirth,7.45,"Gainax, Production I.G",Original,1742,833,146202
22,Neon Genesis Evangelion: The End of Evangelion,8.51,"Gainax, Production I.G",Original,102,195,482918
23,Kenpuu Denki Berserk,8.49,OLM,Manga,108,301,276588
24,Koukaku Kidoutai,8.29,Production I.G,Manga,236,265,325682
25,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,Studio Deen,Manga,37,637,150183
26,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Gallop, Studio Deen",Manga,220,345,216154
27,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,Gallop,Manga,1397,2411,34481
28,Akira,8.17,Tokyo Movie Shinsha,Manga,333,197,434086
29,.hack//Sign,6.98,Bee Train,Original,3687,940,91528
30,Aa! Megami-sama!,7.32,AIC,Manga,2226,2360,34581
31,Aa! Megami-sama! (TV),7.35,AIC,Manga,2116,1083,85884
32,Tenshi Kinryouku,6.31,Hal Film Maker,Manga,6823,2419,32981
33,Kidou Tenshi Angelic Layer,7.26,Bones,Manga,2529,2232,32978
34,Ai Yori Aoshi,7.14,J.C.Staff,Manga,3012,1465,60075
35,Appleseed (Movie),7.1,Digital Frontier,Manga,3206,1901,52100
36,Arc the Lad,6.53,Bee Train,Game,5738,4259,7032
37,Avenger,5.91,"Bee Train, Xebec",Original,8501,4073,7906
38,Beck,8.31,Madhouse,Manga,221,570,133432
39,Blue Gender,7.05,AIC,Original,3455,1886,31583
40,Chobits,7.43,Madhouse,Manga,1804,332,272425
41,Chrno Crusade,7.66,Gonzo,Manga,1120,742,117484
42,D.N.Angel,7.2,Xebec,Manga,2761,891,117045
43,D.C.: Da Capo,6.77,"feel., Zexcs",Visual novel,4589,1852,36037
44,DearS,6.62,Daume,Manga,5274,1146,95113
45,Rozen Maiden,7.44,Nomad,Manga,1782,846,113914
46,Rozen Maiden: Träumend,7.65,Nomad,Manga,1146,1479,73523
47,Azumanga Daioh,7.98,J.C.Staff,4-koma manga,555,554,143431
48,Basilisk: Kouga Ninpou Chou,7.58,Gonzo,Manga,1325,940,82153
49,Black Cat (TV),7.38,Gonzo,Manga,1965,622,142921
50,Cluster Edge,6.35,Sunrise,Original,6646,5061,3068
51,Full Metal Panic!,7.65,Gonzo,Light novel,1146,322,264665
52,Full Metal Panic? Fumoffu,8.07,Kyoto Animation,Light novel,452,571,204041
53,Full Metal Panic! The Second Raid,7.96,Kyoto Animation,Light novel,579,639,177524
54,Gakuen Alice,7.65,Group TAC,Manga,1158,1640,57369
55,Soukyuu no Fafner: Dead Aggressor,7.3,Xebec,Original,2348,2523,16417
56,Mahou Shoujo Lyrical Nanoha,7.42,Seven Arcs,Original,1828,1550,47731
57,Mahou Shoujo Lyrical Nanoha A's,7.99,Seven Arcs,Original,551,2075,40165
58,Shuffle!,7.09,Asread,Visual novel,3231,600,151944
59,Mobile Suit Gundam,7.78,Sunrise,Original,867,1427,52669
60,Mobile Suit Gundam: The 08th MS Team,8.03,Sunrise,Original,511,1948,43537
61,Mobile Suit Gundam 0080: War in the Pocket,7.9,Sunrise,Original,677,2444,30112
62,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,Sunrise,Original,4498,4660,8314
63,Mobile Suit Gundam 0083: Stardust Memory,7.3,Sunrise,Original,2361,2791,24492
64,Mobile Suit Zeta Gundam,7.92,Sunrise,Original,655,2159,32798
65,Mobile Suit Gundam ZZ,6.66,Sunrise,Original,5111,2941,18408
66,Mobile Suit Gundam: Char's Counterattack,7.68,"Sunrise, Studio Hibari",Novel,1084,2773,25957
68,Mobile Suit Victory Gundam,6.76,"Sunrise, Studio Deen",Original,4632,3588,10068
69,Mobile Suit Gundam Wing,7.72,Sunrise,Original,984,1118,95155
70,Mobile Suit Gundam Wing: Endless Waltz,7.76,Sunrise,Original,897,2512,34369
71,After War Gundam X,7.32,Sunrise,Original,2228,3043,15987
72,Mobile Suit Gundam SEED,7.79,Sunrise,Original,850,1057,101920
73,Mobile Suit Gundam SEED Destiny,7.22,Sunrise,Original,2687,1530,70845
74,Turn A Gundam,7.7,"Sunrise, Nakamura Production",Original,1018,2714,14651
75,Mobile Fighter G Gundam,7.56,Sunrise,Original,1396,2109,38653
76,Last Exile,7.82,Gonzo,Original,795,995,77235
77,Mai-HiME,7.46,Sunrise,Original,1698,1381,60321
78,Mai-Otome,7.31,Sunrise,Original,2308,2370,31335
79,Shin Shirayuki-hime Densetsu Prétear,7.2,Hal Film Maker,Manga,2785,2162,33827
80,Air,7.32,Kyoto Animation,Visual novel,2230,563,170036
81,Aishiteruze Baby★★,7.48,TMS Entertainment,Manga,1634,1529,59770
82,Akazukin Chacha,7.39,Gallop,Manga,1941,4551,5140
83,Ayashi no Ceres,7.23,Studio Pierrot,Manga,2641,2182,31162
84,Boys Be...,6.46,Hal Film Maker,Manga,6088,3665,10371
85,Hana yori Dango,7.7,Toei Animation,Manga,1027,2293,25257
86,Ou Dorobou Jing,7.23,Studio Deen,Manga,2625,2817,16532
87,Ou Dorobou Jing in Seventh Heaven,7.29,Studio Deen,Manga,2367,4619,7309
88,Bakuretsu Tenshi,6.81,Gonzo,Original,4381,1965,34321
89,Chuuka Ichiban!,7.63,Nippon Animation,Manga,1195,4086,8203
90,Corrector Yui,6.83,Nippon Animation,Original,4318,4519,6825
91,Chou Henshin Cosprayers,4.95,"Imagin, Studio Live",Original,10648,5542,3567
92,Uchuu no Stellvia,7.38,Xebec,Original,1980,3577,10722
93,Sakigake!! Cromartie Koukou,7.93,Production I.G,Manga,631,1279,49634
94,El Hazard: The Alternative World,6.83,AIC,Original,4315,4961,6251
95,El Hazard: The Wanderers,6.97,AIC,Original,3735,4198,8190
96,El Hazard: The Magnificent World,7.32,AIC,Original,2240,4129,9059
97,El Hazard 2: The Magnificent World,6.85,AIC,Original,4239,5421,5472
98,Final Approach,6.56,Zexcs,Visual novel,5567,2887,21798
99,Fruits Basket,7.69,Studio Deen,Manga,1058,314,297921
100,Fullmetal Alchemist,8.17,Bones,Manga,337,52,880215
101,Full Moon wo Sagashite,7.96,Studio Deen,Manga,585,1519,51760
102,Fushigi Yuugi,7.64,Studio Pierrot,Manga,1172,1434,53674
103,Fushigi Yuugi: Eikouden,6.86,Studio Pierrot,Manga,4189,4101,11630
104,Futakoi,6.49,Telecom Animation Film,Original,5946,2900,19836
105,Futakoi Alternative,6.91,"ufotable, feel., Studio Flag",Original,3968,3071,13965
106,Gate Keepers,6.96,Gonzo,Game,3767,3717,11013
107,Gate Keepers 21,6.79,Gonzo,Game,4489,5026,5904
108,Gensoumaden Saiyuuki,7.59,Studio Pierrot,Manga,1315,2359,22100
109,Saiyuuki Reload,7.41,Studio Pierrot,Manga,1858,3071,15616
110,Saiyuuki Reload Gunlock,7.42,Studio Pierrot,Manga,1840,3724,10446
111,GetBackers,7.61,Studio Deen,Manga,1249,1339,55921
112,Green Green,6.21,Studio Matrix,Visual novel,7303,1333,79017
113,Gunslinger Girl,7.42,Madhouse,Manga,1821,920,82948
114,Hikaru no Go,8.11,Studio Pierrot,Manga,400,1287,62705
115,Hunter x Hunter,8.42,Nippon Animation,Manga,143,319,260968
116,Hunter x Hunter: Original Video Animation,8.33,Nippon Animation,Manga,205,1375,80683
117,Hunter x Hunter: Greed Island,8.21,Nippon Animation,Manga,299,1244,98042
118,Hunter x Hunter: Greed Island Final,8.29,Nippon Animation,Manga,230,1288,92109
119,Jinki:Extend,6.14,feel.,Manga,7618,4923,4784
120,Kamikaze Kaitou Jeanne,7.45,Toei Animation,Manga,1746,2363,32304
121,Kannazuki no Miko,6.87,TNK,Manga,4169,2000,33411
122,Kanon,7.11,Toei Animation,Visual novel,3174,2105,32662
123,Kareshi Kanojo no Jijou,7.61,"Gainax, J.C.Staff",Manga,1254,875,75368
124,Kono Minikuku mo Utsukushii Sekai,6.76,"Gainax, Shaft",Original,4625,2145,33816
125,Kimi ga Nozomu Eien,7.24,Studio Fantasia,Visual novel,2604,1187,75846
126,Kita e.: Diamond Dust Drops,6.62,Studio Deen,Visual novel,5305,5411,2781
127,Loveless,6.86,J.C.Staff,Manga,4203,1215,81173
128,Blood+,7.66,Production I.G,Original,1116,431,163002
129,Re: Cutey Honey,7.12,"Gainax, Toei Animation",Manga,3130,3430,10939
130,Solty Rei,7.28,Gonzo,Original,2447,3233,13419
131,Juuni Kokuki,8.06,Studio Pierrot,Novel,464,1266,41705
132,Shaman King,7.78,Xebec,Manga,853,477,208822
133,X/1999,6.59,Madhouse,Manga,5420,2904,22871
134,X,7.43,Madhouse,Manga,1804,1818,39454
135,Mahou Sensei Negima!,6.98,Xebec,Manga,3708,1208,74264
136,Maria-sama ga Miteru,7.34,Studio Deen,Light novel,2178,2170,22274
137,Boukyaku no Senritsu,6.34,"Gainax, J.C.Staff",Manga,6657,3975,6788
138,"Ima, Soko ni Iru Boku",7.66,AIC,Original,1140,1309,39741
139,Peace Maker Kurogane,7.33,Gonzo,Manga,2186,2251,26653
140,Pita Ten,6.94,Madhouse,Manga,3863,3626,11980
141,Power Stone,6.48,Studio Pierrot,Game,6015,5874,4024
142,Mononoke Hime,8.72,Studio Ghibli,Original,40,91,735624
143,RahXephon,7.42,Bones,Original,1820,1395,46207
144,Samurai 7,7.48,Gonzo,Other,1646,1295,67372
145,Scrapped Princess,7.41,Bones,Light novel,1861,1637,42524
146,s.CRY.ed,7.38,Sunrise,Original,1969,1787,44099
147,Shingetsutan Tsukihime,6.91,J.C.Staff,Visual novel,3970,1086,77659
148,Slam Dunk,8.53,Toei Animation,Manga,92,728,108713
149,Strange Dawn,6.35,Hal Film Maker,Original,6634,7014,1487
150,Tactics,7.23,Studio Deen,Manga,2668,2670,15626
151,Tenjou Tenge,6.93,Madhouse,Manga,3911,934,100783
152,Tokyo Underground,6.63,Studio Pierrot,Manga,5230,3254,13386
153,Triangle Heart: Sweet Songs Forever,6.19,Seven Arcs,Visual novel,7381,5991,3163
154,Tsubasa Chronicle,7.55,Bee Train,Manga,1437,759,106909
155,Ultra Maniac,7.18,Production Reed,Manga,2871,3103,15384
157,Vandread,7.21,Gonzo,Original,2723,1771,53218
158,Vandread: The Second Stage,7.42,Gonzo,Original,1850,2326,40117
159,Tenkuu no Escaflowne,7.7,Sunrise,Original,1037,1157,70674
160,Whistle!,7.39,Studio Comet,Manga,1939,4545,7300
161,Xenosaga The Animation,6.37,Toei Animation,Game,6577,3838,9556
162,Initial D First Stage,8.29,"Gallop, Studio Comet",Manga,231,638,148516
163,Initial D Second Stage,8.12,Pastel,Manga,391,1095,114742
164,Initial D Third Stage,7.89,Studio Deen,Manga,689,1270,98309
166,Love Hina,7.14,Xebec,Manga,3037,645,154064
167,Love Hina Again,7.25,Xebec,Manga,2581,1715,66654
168,Love Hina Christmas Special: Silent Eve,7.34,Xebec,Manga,2174,2177,47981
170,Maburaho,6.8,J.C.Staff,Light novel,4444,1583,58233
171,Macross Zero,7.55,Satelight,Original,1438,2809,22070
172,Onegai☆Teacher,7.17,Daume,Original,2877,1008,109656
173,Onegai☆Twins,6.88,Daume,Original,4123,1699,60488
174,Rizelmine,6.55,"Madhouse, Imagin",Manga,5608,3495,12205
175,Speed Grapher,7.35,Gonzo,Original,2105,1458,41984
176,Sen to Chihiro no Kamikakushi,8.83,Studio Ghibli,Original,23,41,1124666
177,Tenshi na Konamaiki,7.48,TMS Entertainment,Manga,1653,3426,9671
178,Video Girl Ai,7.21,Production I.G,Manga,2725,3409,13879
179,Wolf's Rain,7.82,Bones,Original,803,528,135944
181,Yumeria,6.11,Studio Deen,Visual novel,7783,3283,15177
182,Samurai Champloo,8.5,Manglobe,Original,105,86,551621
183,Lodoss-tou Senki: Eiyuu Kishi Den,7.16,AIC,Novel,2951,3255,11810
184,Lodoss-tou Senki,7.4,Madhouse,Novel,1904,2236,24276
185,R.O.D: Read or Die,7.67,Studio Deen,Light novel,1105,2075,39760
186,R.O.D: The TV,7.55,J.C.Staff,Light novel,1410,1971,32941
187,Ranma ½,7.76,Studio Deen,Manga,891,767,97406
189,Project A-Ko,6.86,APPP,Original,4200,4227,8473
193,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,Bones,Visual novel,8395,8347,1498
195,Kidou Senkan Nadesico,7.52,Xebec,Original,1521,2424,20469
196,Kidou Senkan Nadesico: The Prince of Darkness,6.77,Xebec,Original,4595,4347,9758
199,Mezzo DSA,6.68,Arms,Original,5005,3924,9251
200,Dragon Ball,8.0,Toei Animation,Manga,535,120,600337
201,Dragon Ball GT,6.48,Toei Animation,Manga,5974,262,408494
202,Elfen Lied,7.56,Arms,Manga,1382,49,885356
203,FLCL,8.03,"Gainax, Production I.G",Original,505,171,409775
204,Jigoku Shoujo,7.65,Studio Deen,Original,1158,490,128781
205,Ninin ga Shinobuden,6.92,ufotable,Manga,3939,2957,17164
206,Air Master,7.02,Toei Animation,Manga,3550,2829,17231
207,Asagiri no Miko,6.18,"Chaos Project, GANSIS",Manga,7429,5793,2727
208,Cardcaptor Sakura,8.16,Madhouse,Manga,346,405,214053
209,Daa! Daa! Daa!,7.65,J.C.Staff,Manga,1152,3651,10846
210,Dan Doh!!,6.69,Tokyo Kids,Manga,4958,7451,1873
211,Detective Conan,8.16,TMS Entertainment,Manga,349,580,9
212,E's Otherwise,6.64,Studio Pierrot,Manga,5178,4193,8175
213,Koukyoushihen Eureka Seven,8.09,Bones,Original,426,351,190807
214,Rekka no Honoo,7.36,Studio Pierrot,Manga,2072,2139,29742
215,Gankutsuou,8.17,Gonzo,Novel,342,767,68806
216,Genshiken,7.66,Palm Studio,Manga,1136,976,78639
217,Girls Bravo: First Season,6.45,AIC Spirits,Manga,6170,1194,82265
218,Gokusen,7.42,Madhouse,Manga,1822,2742,22258
219,Gravitation,7.02,Studio Deen,Manga,3562,1391,74479
220,Agatha Christie no Meitantei Poirot to Marple,6.88,OLM,Novel,4105,5915,1983
221,Great Teacher Onizuka,8.7,Studio Pierrot,Manga,44,184,334925
222,Groove Adventure Rave,7.27,Studio Deen,Manga,2474,1600,40997
223,Harukanaru Toki no Naka de: Hachiyou Shou,7.05,Yumeta Company,Visual novel,3462,3581,8301
224,Ichigo 100%,6.68,Madhouse,Manga,4993,1440,63592
225,InuYasha,7.85,Sunrise,Manga,740,187,317986
226,Konjiki no Gash Bell!!,7.55,Toei Animation,Manga,1434,1417,49331
227,Kyou kara Maou!,7.7,Studio Deen,Light novel,1032,1513,37433
228,Madlax,7.07,Bee Train,Original,3366,2720,14233
229,Jungle wa Itsumo Hare nochi Guu,7.84,Shin-Ei Animation,Manga,757,2987,14766
230,Jungle wa Itsumo Hare nochi Guu Deluxe,7.83,Shin-Ei Animation,Manga,780,4696,8508
231,Jungle wa Itsumo Hare nochi Guu Final,7.65,Shin-Ei Animation,Manga,1162,5078,6910
232,Hoshi no Koe,7.22,CoMix Wave Films,Original,2682,1122,86683
233,Ikkitousen,6.45,J.C.Staff,Manga,6153,1118,78151
234,Hitsuji no Uta,6.23,Madhouse,Manga,7217,4165,7283
236,Happy☆Lesson (TV),6.67,Studio Hibari,Manga,5048,3355,14637
237,Happy☆Lesson: Advance,6.84,Studio Hibari,Manga,4278,4410,8507
238,Happy☆Lesson: The Final,6.83,Studio Hibari,Manga,4327,5270,5757
239,Hajime no Ippo,8.75,Madhouse,Manga,32,345,221671
240,Hajime no Ippo: Champion Road,8.29,Madhouse,Manga,228,1418,82189
241,Hajime no Ippo: Mashiba vs. Kimura,8.23,Madhouse,Manga,278,1702,66274
242,Gunparade March: Arata Naru Kougunka,6.8,J.C.Staff,Game,4435,4264,7330
243,Gungrave,7.87,Madhouse,Game,714,963,72321
244,Golden Boy,8.03,APPP,Manga,507,579,176125
245,Bleach,7.8,Studio Pierrot,Manga,818,33,638922
246,Hellsing,7.5,Gonzo,Manga,1586,205,378129
247,Gad Guard,6.7,Gonzo,Original,4887,4549,5138
248,Noir,7.31,Bee Train,Original,2278,1475,40796
249,Mahoutsukai ni Taisetsu na Koto,6.75,J.C.Staff,Manga,4700,3479,7762
250,Kiddy Grade,7.22,Gonzo,Original,2683,2531,22208
251,Love♥Love?,5.91,"Imagin, Studio Live",Original,8506,3713,11763
252,Mahoromatic: Automatic Maiden,7.18,"Gainax, Shaft",Manga,2860,2174,30964
253,Mahoromatic: Motto Utsukushii Mono,7.17,"Gainax, Shaft",Manga,2918,3042,20303
254,Viewtiful Joe,6.75,Group TAC,Game,4674,5009,5169
255,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.15,TMS Entertainment,Novel,2999,2944,9714
256,Animal Yokochou,6.83,Gallop,Manga,4306,8571,547
257,Akane Maniax,5.74,Silver,Visual novel,9040,3933,11834
258,Angel Heart,7.3,TMS Entertainment,Manga,2317,4203,5102
259,Akage no Anne,7.7,Nippon Animation,Novel,1012,3492,8181
260,Area 88 (TV),7.03,Group TAC,Manga,3517,4622,5825
261,Argento Soma,6.8,Sunrise,Original,4422,3511,7082
262,B'T X,7.05,TMS Entertainment,Manga,3446,5003,5719
263,Grappler Baki (TV),7.44,Group TAC,Manga,1779,1744,50535
264,Bakuten Shoot Beyblade,6.73,Madhouse,Manga,4754,1565,74476
265,Comic Party,6.59,OLM,Visual novel,5438,3950,9238
266,Seikai no Monshou,7.69,Sunrise,Light novel,1046,2463,20068
267,D.C.S.S: Da Capo Second Season,7.01,feel.,Visual novel,3606,2954,19784
268,Dear Boys,6.85,A.C.G.T.,Manga,4240,3745,11116
269,Di Gi Charat,6.73,Madhouse,Original,4758,3895,10719
270,Divergence Eve,5.93,Radix,Original,8440,4777,4668
271,Divergence Eve 2: Misaki Chronicles,6.3,Radix,Original,6880,5883,3124
272,Dragon Drive,6.73,Madhouse,Manga,4761,3651,10560
273,Grenadier: Hohoemi no Senshi,6.72,Group TAC,Manga,4815,2269,30372
274,.hack//Tasogare no Udewa Densetsu,6.6,Bee Train,Manga,5343,1987,43372
275,.hack//Liminality,6.61,Bee Train,Original,5332,2958,21632
276,3x3 Eyes,6.77,Toei Animation,Manga,4559,3414,13962
277,Cinderella Boy,6.32,Magic Bus,Manga,6755,6128,2893
278,Mirai Shounen Conan,8.09,Nippon Animation,Novel,428,2707,15262
279,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.92,OLM,4-koma manga,3934,3652,12880
280,Aa! Megami-sama! Movie,7.57,AIC,Original,1355,2618,30233
281,Abashiri Ikka,5.39,Studio Pierrot,Manga,9929,7318,1752
282,Abenobashi Mahou☆Shoutengai,7.26,"Gainax, Madhouse",Original,2514,1782,36280
284,Zettai Shounen,6.94,Ajia-Do,Original,3869,3946,3875
285,Akahori Gedou Hour Rabuge,6.16,Radix,Original,7523,6564,1613
286,"Chiisana Obake: Acchi, Kocchi, Socchi",5.98,Studio Pierrot,Picture book,8281,9434,835
287,Ace wo Nerae!,7.02,"Madhouse, Tokyo Movie Shinsha",Manga,3550,5100,2744
290,Ace wo Nerae! 2,6.87,Annapuru,Manga,4155,8812,809
293,Final Fantasy VII: Advent Children,7.76,Square Enix,Game,890,782,178810
294,Hand Maid May,6.73,"TNK, Production Reed",Original,4768,3240,16773
295,Happy World!,6.02,Zexcs,Manga,8150,6218,3648
297,Najica Dengeki Sakusen,6.0,"Studio Fantasia, Amber Film Works",Original,8229,4443,7280
298,Paradise Kiss,7.83,Madhouse,Manga,769,983,90827
299,Mousou Dairinin,7.68,Madhouse,Original,1085,489,136786
300,Kidou Keisatsu Patlabor: On Television,7.69,Sunrise,Original,1063,3054,9119
301,Peach Girl,7.0,Studio Comet,Manga,3650,1683,52978
302,Petshop of Horrors,7.27,Madhouse,Manga,2492,2229,33334
303,Puchi Pri*Yucie,7.42,Gainax,Original,1819,4531,6683
304,Piano (TV),6.02,OLM,Original,8155,5442,3396
305,Planetes,8.31,Sunrise,Manga,219,762,70506
306,Midori no Hibi,7.28,Studio Pierrot,Manga,2430,1081,97410
307,Mahoujin Guruguru,7.61,Nippon Animation,Manga,1256,5148,3374
308,Dokidoki♡Densetsu: Mahoujin Guruguru,7.19,Nippon Animation,Manga,2814,7592,1563
309,Mama wa Shougaku 4 Nensei,7.21,Sunrise,Original,2749,6922,2071
310,Marmalade Boy,7.49,Toei Animation,Manga,1621,2474,20651
311,Matantei Loki Ragnarok,7.29,Studio Deen,Manga,2400,2779,18599
312,Ginyuu Mokushiroku Meine Liebe,6.46,Bee Train,Visual novel,6117,4629,4246
313,Psychic Academy,6.24,E&G Films,Manga,7178,4910,5925
314,Versailles no Bara,8.33,Tokyo Movie Shinsha,Manga,206,1832,25057
315,Serial Experiments Lain,8.03,Triangle Staff,Original,509,255,218721
316,Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.59,Studio Comet,Manga,1324,3579,11039
317,Spiral: Suiri no Kizuna,7.25,J.C.Staff,Manga,2555,2340,25819
318,Starship Operators,7.0,J.C.Staff,Light novel,3653,4346,5725
319,Tsukuyomi: Moon Phase,7.0,Shaft,Manga,3657,1896,31849
320,Futatsu no Spica,7.37,Group TAC,Manga,2034,5177,4077
321,Eikoku Koi Monogatari Emma,7.67,Studio Pierrot,Manga,1097,2434,17473
322,W: Wish,6.19,"Trinet Entertainment, Picture Magic",Visual novel,7381,4319,6726
323,Wild Arms: Twilight Venom,6.66,Bee Train,Game,5112,5760,3355
324,Binzume Yousei,6.45,Xebec,Original,6151,3995,8775
325,Magical Canan,6.19,AIC ASTA,Visual novel,7413,6789,1668
326,Ojamajo Doremi,7.21,Toei Animation,Original,2738,2562,24758
327,Ojamajo Doremi Sharp,7.34,Toei Animation,Original,2141,4084,11846
328,Motto! Ojamajo Doremi,7.34,Toei Animation,Original,2166,4048,11423
329,Ojamajo Doremi Dokkaan!,7.59,Toei Animation,Original,1294,4525,8257
330,UG☆Ultimate Girls,5.63,Studio Matrix,Original,9317,5317,3865
331,Shakugan no Shana,7.51,J.C.Staff,Light novel,1542,279,288718
332,Fate/stay night,7.34,Studio Deen,Visual novel,2152,119,510563
333,Bokusatsu Tenshi Dokuro-chan,6.59,"Hal Film Maker, Nomad",Light novel,5415,884,125119
334,"Iriya no Sora, UFO no Natsu",6.99,Toei Animation,Light novel,3675,3392,12756
335,I'll/CKBC,6.3,M.S.C,Manga,6894,6682,2536
336,Himiko-den,6.24,Group TAC,Game,7165,6415,2224
339,Memories Off 3.5,6.29,"Picture Magic, Rikuentai",Visual novel,6963,7836,1532
340,Gallery Fake,7.47,"TMS Entertainment, Tokyo Kids, Minami Machi Bugyousho",Manga,1675,4630,3237
341,Fake,6.54,J.C.Staff,Manga,5693,3916,13736
342,AIKa,5.94,Studio Fantasia,Original,8407,3152,15937
343,Akazukin Chacha OVA,7.05,Gallop,Manga,3445,8558,1333
345,Boogiepop wa Warawanai,7.17,Madhouse,Light novel,2899,1477,29544
346,Burn Up Excess,6.55,Magic Bus,Original,5634,5063,5216
347,Cardcaptor Sakura Movie 1,7.64,Madhouse,Manga,1175,1611,72799
348,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.22,Madhouse,Manga,291,1448,82231
349,Bannou Bunka Neko-Musume,6.7,"Studio Fantasia, animate Film",Manga,4878,5053,5120
351,Bannou Bunka Neko-Musume (1998),6.53,Production Reed,Original,5739,5976,3006
352,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",7.19,Arms,Manga,2819,897,142339
353,eX-Driver,6.73,"Actas, Production Reed",Original,4758,5169,5151
354,eX-Driver the Movie,6.64,Actas,Original,5200,6940,2976
355,Heppoko Jikken Animation Excel♥Saga,7.5,J.C.Staff,Manga,1579,1485,47372
356,Fushigi Yuugi OVA,7.16,Studio Pierrot,Manga,2945,3670,15715
357,Fushigi Yuugi: Dai Ni Bu,7.27,Studio Pierrot,Manga,2494,3838,13694
358,Futari Ecchi,6.37,Chaos Project,Manga,6568,2997,20234
359,Galaxy Angel,7.03,Madhouse,Game,3525,3343,12598
360,Gantz,7.05,Gonzo,Manga,3461,491,181377
361,Gilgamesh,6.65,"Group TAC, Japan Vistec",Manga,5142,2776,10972
362,H2,7.27,Production Reed,Manga,2499,5425,3394
363,Haibane Renmei,7.99,Radix,Other,548,700,94017
364,Capeta,7.83,Studio Comet,Manga,765,3652,11499
365,Karas,7.42,Tatsunoko Production,Original,1826,2067,31891
366,Suzuka,7.22,Studio Comet,Manga,2698,1397,60350
367,Tales of Phantasia The Animation,6.82,Actas,Game,4371,3594,12771
368,Yuu☆Yuu☆Hakusho,8.45,Studio Pierrot,Manga,127,257,255542
369,Escaflowne,7.08,"Bones, Sunrise",Original,3284,2053,38313
370,Ai Yori Aoshi: Enishi,7.16,J.C.Staff,Manga,2938,2223,39986
371,Gantz 2nd Stage,7.08,Gonzo,Manga,3291,1096,108501
372,Seikai no Senki,7.72,Sunrise,Light novel,987,3069,16557
373,Seikai no Senki II,7.84,Sunrise,Light novel,765,3643,13721
374,Seikai no Senki III,7.7,Sunrise,Light novel,1015,4103,10702
375,Seikai no Senki Special,7.26,Sunrise,Light novel,2542,7827,1673
376,Seihou Bukyou Outlaw Star,7.87,Sunrise,Manga,714,1180,65883
377,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,8.0,Studio Deen,Manga,542,1795,55197
378,Otogi Juushi Akazukin OVA,6.48,Madhouse,Original,6006,9540,810
379,Hanaukyou Maid-tai,6.62,Daume,Manga,5297,3143,17078
380,Bastard!!: Ankoku no Hakaishin,6.75,AIC,Manga,4679,3016,18022
381,Blood: The Last Vampire,6.91,Production I.G,Original,3984,1488,70311
382,Buzzer Beater,6.56,TMS Entertainment,Web manga,5558,4474,7603
383,Tantei Gakuen Q,7.76,Studio Pierrot,Manga,906,3072,14895
384,Final Fantasy VII: Last Order,7.33,Madhouse,Game,2216,1995,50105
385,Gun x Sword,7.28,AIC ASTA,Original,2441,1894,35795
386,Kore ga Watashi no Goshujinsama,6.56,"Gainax, Shaft",Manga,5600,1819,44737
387,Hametsu no Mars,2.23,WAO World,Visual novel,11058,2216,41464
388,Tonari no Yamada-kun,7.19,Studio Ghibli,4-koma manga,2811,2796,23117
389,Kurenai no Buta,7.98,Studio Ghibli,Manga,564,895,135717
